country,Code,year,gdp,145446-annotations
North Korea,PRK,1820,752.73,
North Korea,PRK,1870,757.59,
North Korea,PRK,1911,1073.79,
North Korea,PRK,1912,1170.13,
North Korea,PRK,1913,1216.46,
North Korea,PRK,1914,1219.25,
North Korea,PRK,1915,1286.3,
North Korea,PRK,1916,1385.46,
North Korea,PRK,1917,1307.77,
North Korea,PRK,1918,1382.31,
North Korea,PRK,1919,1102.65,
North Korea,PRK,1920,1469.82,
North Korea,PRK,1921,1440.44,
North Korea,PRK,1922,1433.49,
North Korea,PRK,1923,1453.13,
North Korea,PRK,1924,1402.93,
North Korea,PRK,1925,1422.49,
North Korea,PRK,1926,1460.9,
North Korea,PRK,1927,1593.9,
North Korea,PRK,1928,1561.02,
North Korea,PRK,1929,1596.19,
North Korea,PRK,1930,1725.6,
North Korea,PRK,1931,1831.31,
North Korea,PRK,1932,1837.19,
North Korea,PRK,1933,1895.45,
North Korea,PRK,1934,1793.03,
North Korea,PRK,1935,1996.16,
North Korea,PRK,1936,2121.92,
North Korea,PRK,1937,2469.68,
North Korea,PRK,1938,2557.07,
North Korea,PRK,1939,2494.34,
North Korea,PRK,1940,2623.73,
North Korea,PRK,1941,2621.04,
North Korea,PRK,1942,2399.64,
North Korea,PRK,1943,2462,
North Korea,PRK,1990,2455.82,
North Korea,PRK,1991,2315.96,
North Korea,PRK,1992,2120.55,
North Korea,PRK,1993,1996.29,
North Korea,PRK,1994,1925.96,
North Korea,PRK,1995,1816.01,
North Korea,PRK,1996,1733.1,
North Korea,PRK,1997,1604.9,
North Korea,PRK,1998,1579.93,
North Korea,PRK,1999,1664.64,
North Korea,PRK,2000,1657.14,
North Korea,PRK,2001,1704.37,
North Korea,PRK,2002,1710.95,
North Korea,PRK,2003,1729.62,
North Korea,PRK,2004,1753.69,
North Korea,PRK,2005,1808.06,
North Korea,PRK,2006,1778.5,
North Korea,PRK,2007,1746.93,
North Korea,PRK,2008,1794.66,
North Korea,PRK,2009,1768.89,
North Korea,PRK,2010,1751.44,
North Korea,PRK,2011,1756.61,
North Korea,PRK,2012,1770.92,
North Korea,PRK,2013,1781.3,
North Korea,PRK,2014,1791.34,
North Korea,PRK,2015,1762.52,
North Korea,PRK,2016,1742.02,
North Korea,PRK,2017,1673.28,
North Korea,PRK,2018,1596.35,
South Korea,KOR,1820,815.77,
South Korea,KOR,1870,820.36,
South Korea,KOR,1911,1107.56,
South Korea,KOR,1912,1090.44,
South Korea,KOR,1913,1171.04,
South Korea,KOR,1914,1254.4,
South Korea,KOR,1915,1261.26,
South Korea,KOR,1916,1314.99,
South Korea,KOR,1917,1366.15,
South Korea,KOR,1918,1427.03,
South Korea,KOR,1919,1363.15,
South Korea,KOR,1920,1428.82,
South Korea,KOR,1921,1473.88,
South Korea,KOR,1922,1492.98,
South Korea,KOR,1923,1505.5,
South Korea,KOR,1924,1422.15,
South Korea,KOR,1925,1469.89,
South Korea,KOR,1926,1529.54,
South Korea,KOR,1927,1611.72,
South Korea,KOR,1928,1492.94,
South Korea,KOR,1929,1495.86,
South Korea,KOR,1930,1637.21,
South Korea,KOR,1931,1620.78,
South Korea,KOR,1932,1620.94,
South Korea,KOR,1933,1655.03,
South Korea,KOR,1934,1673.3,
South Korea,KOR,1935,1759.6,
South Korea,KOR,1936,1692.89,
South Korea,KOR,1937,2005.75,
South Korea,KOR,1938,1935.1,
South Korea,KOR,1939,1610.73,
South Korea,KOR,1940,1975.24,
South Korea,KOR,1941,2107.25,
South Korea,KOR,1942,1645.72,
South Korea,KOR,1943,1685.94,
South Korea,KOR,1946,915.77,
